Id,,Name,,Date,,Time
2014,,obama,,18-10-2022,,01:28:15
2020,,joe biden,,18-10-2022,,01:28:26
202239098,,Sumaya,,18-10-2022,,11:49:11
202239098,,Sumaiya,,18-10-2022,,11:49:19
